ID,Name,Age,Country,Salary,Status
1,Person_1,56,USA,57403.75,Employed
2,Person_2,46,India,67230.02,Employed
3,Person_3,32,UK,34663.34,Unemployed
4,Person_4,60,UK,46031.78,Self-Employed
5,Person_5,25,India,67999.45,Unemployed
6,Person_6,38,Australia,60206.97,Self-Employed
7,Person_7,56,UK,53297.11,Employed
8,Person_8,36,USA,81138.44,Unemployed
9,Person_9,40,USA,78560.23,Unemployed
10,Person_10,28,Canada,41671.15,Self-Employed
11,Person_11,28,UK,91504.04,Employed
12,Person_12,41,Australia,64679.65,Unemployed
13,Person_13,53,India,81902.26,Employed
14,Person_14,57,India,70120.56,Unemployed
15,Person_15,41,Australia,99838.48,Employed
16,Person_16,20,Canada,82668.22,Self-Employed
17,Person_17,39,India,79488.63,Unemployed
18,Person_18,19,UK,84500.04,Unemployed
19,Person_19,41,Canada,40018.96,Employed
20,Person_20,61,UK,44318.12,Employed
21,Person_21,47,USA,79984.49,Unemployed
22,Person_22,55,Canada,64578.7,Self-Employed
23,Person_23,19,India,82824.47,Employed
24,Person_24,38,Canada,37204.12,Employed
25,Person_25,50,Canada,67553.69,Employed
26,Person_26,29,Canada,56517.51,Unemployed
27,Person_27,39,Canada,61990.02,Unemployed
28,Person_28,61,UK,72277.05,Unemployed
29,Person_29,42,USA,65160.18,Unemployed
30,Person_30,44,Australia,67790.24,Self-Employed
31,Person_31,59,Canada,64045.02,Self-Employed
32,Person_32,45,India,58626.86,Unemployed
33,Person_33,33,Canada,84031.74,Self-Employed
34,Person_34,32,India,30854.22,Employed
35,Person_35,64,UK,71890.99,Employed
36,Person_36,61,India,69585.58,Employed
37,Person_37,20,Australia,80132.54,Unemployed
38,Person_38,54,USA,71932.06,Employed
39,Person_39,24,India,87875.92,Self-Employed
40,Person_40,38,India,97135.24,Unemployed
41,Person_41,26,USA,53976.7,Self-Employed
42,Person_42,56,Australia,45914.57,Employed
43,Person_43,35,Canada,59651.78,Employed
44,Person_44,21,India,50155.07,Employed
45,Person_45,42,USA,73046.52,Unemployed
46,Person_46,31,UK,93829.67,Self-Employed
47,Person_47,26,USA,39738.13,Unemployed
48,Person_48,43,UK,37055.62,Unemployed
49,Person_49,19,Australia,47921.09,Employed
50,Person_50,37,Canada,80826.69,Unemployed
51,Person_51,45,USA,71507.4,Unemployed
52,Person_52,64,India,37154.89,Employed
53,Person_53,24,Australia,94312.54,Unemployed
54,Person_54,61,USA,85305.92,Employed
55,Person_55,25,India,31611.58,Employed
56,Person_56,64,USA,75595.7,Employed
57,Person_57,52,UK,83987.27,Employed
58,Person_58,31,USA,56210.48,Unemployed
59,Person_59,34,USA,34824.51,Employed
60,Person_60,53,USA,35412.47,Employed
61,Person_61,57,Australia,37297.29,Unemployed
62,Person_62,21,USA,88830.77,Unemployed
63,Person_63,19,India,93748.03,Self-Employed
64,Person_64,23,UK,38596.75,Unemployed
65,Person_65,59,UK,46513.42,Unemployed
66,Person_66,21,USA,41586.44,Self-Employed
67,Person_67,46,Australia,43042.46,Unemployed
68,Person_68,35,Australia,88624.36,Unemployed
69,Person_69,43,India,53250.25,Unemployed
70,Person_70,61,USA,51801.1,Unemployed
71,Person_71,51,UK,45917.69,Self-Employed
72,Person_72,27,Australia,72552.61,Unemployed
73,Person_73,53,USA,56551.4,Unemployed
74,Person_74,31,Australia,82097.48,Self-Employed
75,Person_75,48,Australia,44390.59,Employed
76,Person_76,32,UK,85145.29,Self-Employed
77,Person_77,25,Canada,72260.51,Employed
78,Person_78,31,India,37998.71,Self-Employed
79,Person_79,40,India,59015.32,Self-Employed
80,Person_80,57,UK,90446.27,Unemployed
81,Person_81,38,Australia,94607.22,Employed
