ID,Name,Age,Country,Salary,Status
1001,Person_1001,57,Mexico,28143.59,Employed
1002,Person_1002,56,Mexico,79393.57,Self-Employed
1003,Person_1003,41,Russia,86083.32,Self-Employed
1004,Person_1004,25,Russia,82107.54,Retired
1005,Person_1005,47,Russia,69926.21,Employed
1006,Person_1006,57,China,80066.11,Unemployed
1007,Person_1007,43,Russia,68082.66,Retired
1008,Person_1008,64,Mexico,41608.56,Employed
1009,Person_1009,42,China,41186.67,Retired
1010,Person_1010,57,Russia,70809.97,Student
1011,Person_1011,36,Mexico,86253.4,Self-Employed
1012,Person_1012,31,South Africa,87838.62,Self-Employed
1013,Person_1013,32,China,60059.14,Retired
1014,Person_1014,50,Mexico,41039.95,Retired
1015,Person_1015,45,Brazil,50747.68,Retired
1016,Person_1016,19,China,55354.99,Student
1017,Person_1017,36,Mexico,43228.25,Retired
1018,Person_1018,38,South Africa,62620.86,Student
1019,Person_1019,23,South Africa,79852.43,Student
1020,Person_1020,25,Brazil,78809.74,Self-Employed
1021,Person_1021,19,Mexico,57111.65,Unemployed
1022,Person_1022,49,South Africa,50062.54,Student
1023,Person_1023,57,Mexico,62125.26,Retired
1024,Person_1024,28,Brazil,28980.28,Student
1025,Person_1025,36,Mexico,64898.08,Student
1026,Person_1026,25,Mexico,52720.53,Retired
1027,Person_1027,63,Mexico,35560.96,Unemployed
1028,Person_1028,22,China,48282.61,Unemployed
1029,Person_1029,24,Russia,69503.83,Retired
1030,Person_1030,20,Russia,39006.98,Employed
1031,Person_1031,28,South Africa,57980.5,Unemployed
1032,Person_1032,25,Russia,54458.23,Retired
1033,Person_1033,33,Brazil,34527.29,Student
1034,Person_1034,18,Brazil,58309.35,Student
1035,Person_1035,58,China,34361.52,Retired
1036,Person_1036,20,Mexico,62084.42,Student
1037,Person_1037,34,South Africa,62934.04,Employed
1038,Person_1038,53,Mexico,91154.66,Self-Employed
1039,Person_1039,63,Mexico,39875.74,Self-Employed
1040,Person_1040,54,Brazil,75677.34,Self-Employed
1041,Person_1041,61,Brazil,78279.03,Retired
1042,Person_1042,18,South Africa,82976.23,Employed
1043,Person_1043,56,Russia,42608.03,Self-Employed
1044,Person_1044,32,China,46569.64,Retired
1045,Person_1045,46,South Africa,55687.55,Self-Employed
1046,Person_1046,46,China,78009.82,Employed
1047,Person_1047,55,Mexico,71356.52,Student
1048,Person_1048,47,Russia,90342.06,Retired
1049,Person_1049,51,Russia,30011.69,Retired
1050,Person_1050,38,South Africa,69570.13,Unemployed
1051,Person_1051,41,Brazil,79486.12,Unemployed
1052,Person_1052,28,Brazil,31054.3,Student
1053,Person_1053,54,Mexico,63163.11,Retired
1054,Person_1054,28,Russia,32884.98,Employed
1055,Person_1055,22,China,57904.3,Self-Employed
1056,Person_1056,34,Mexico,81244.32,Unemployed
1057,Person_1057,59,Brazil,57298.96,Unemployed
1058,Person_1058,54,China,76225.92,Retired
1059,Person_1059,34,Russia,65146.3,Unemployed
1060,Person_1060,39,Brazil,88386.96,Unemployed
1061,Person_1061,42,Mexico,65802.71,Employed
1062,Person_1062,33,Brazil,36668.14,Unemployed
1063,Person_1063,18,China,82492.62,Employed
1064,Person_1064,43,South Africa,72473.79,Retired
1065,Person_1065,64,Brazil,39643.19,Unemployed
1066,Person_1066,35,Russia,48415.44,Self-Employed
1067,Person_1067,26,Mexico,89832.35,Retired
1068,Person_1068,27,South Africa,53007.44,Self-Employed
1069,Person_1069,62,Russia,73093.9,Unemployed
1070,Person_1070,34,China,91222.99,Self-Employed
1071,Person_1071,39,China,74278.21,Employed
1072,Person_1072,49,China,76723.07,Unemployed
1073,Person_1073,52,China,58563.85,Unemployed
1074,Person_1074,49,South Africa,73772.28,Unemployed
1075,Person_1075,21,China,40489.62,Unemployed
